epoch_number,rank1_feature,rank1_frequency,rank2_feature,rank2_frequency,rank3_feature,rank3_frequency,rank4_feature,rank4_frequency,rank5_feature,rank5_frequency,rank6_feature,rank6_frequency,rank7_feature,rank7_frequency,rank8_feature,rank8_frequency,rank9_feature,rank9_frequency,rank10_feature,rank10_frequency,rank11_feature,rank11_frequency,rank12_feature,rank12_frequency
48,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,6,dst_host_count,3,service_http,2,dst_host_srv_serror_rate,1,flag_SF,1.0,service_private,1.0,,,,,,,,
49,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,4,service_private,4,dst_host_count,3,service_http,2,dst_host_serror_rate,1.0,,,,,,,,,,
50,count,104,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,4,service_http,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,,,,,,,,
51,count,104,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,4,service_private,3,dst_host_serror_rate,1,same_srv_rate,1.0,service_http,1.0,,,,,,,,
52,count,104,dst_host_same_srv_rate,7,dst_host_srv_count,6,dst_host_count,5,dst_host_serror_rate,1,flag_SF,1,service_http,1.0,service_private,1.0,,,,,,,,
53,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,5,dst_host_count,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,service_http,1.0,,,,,,
54,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,5,dst_host_count,4,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
55,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,5,dst_host_count,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,service_http,1.0,,,,,,
56,count,104,dst_host_same_srv_rate,6,dst_host_srv_count,6,dst_host_count,5,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
57,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,5,dst_host_count,4,same_srv_rate,2,dst_host_serror_rate,1,flag_SF,1.0,service_private,1.0,,,,,,,,
58,count,104,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,4,same_srv_rate,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,,,,,,,,
59,count,104,dst_host_srv_count,8,dst_host_same_srv_rate,5,dst_host_count,3,same_srv_rate,2,service_private,2,flag_S0,1.0,flag_SF,1.0,,,,,,,,
60,count,105,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,4,service_private,3,dst_host_serror_rate,1,same_srv_rate,1.0,,,,,,,,,,
61,count,105,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,service_http,1.0,,,,,,
62,count,105,dst_host_srv_count,6,dst_host_count,5,service_private,3,dst_host_same_srv_rate,2,service_http,2,dst_host_serror_rate,1.0,flag_SF,1.0,same_srv_rate,1.0,,,,,,
63,count,105,dst_host_srv_count,8,dst_host_count,3,dst_host_same_srv_rate,3,service_http,2,service_private,2,dst_host_srv_serror_rate,1.0,flag_SF,1.0,same_srv_rate,1.0,,,,,,
64,count,105,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,3,service_http,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,same_srv_rate,1.0,,,,,,
65,count,105,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,3,service_private,3,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,service_http,1.0,,,,,,
66,count,105,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,3,service_private,3,service_http,2,dst_host_serror_rate,1.0,same_srv_rate,1.0,,,,,,,,
67,count,105,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,4,service_private,3,dst_host_serror_rate,1,same_srv_rate,1.0,service_http,1.0,,,,,,,,
68,count,105,dst_host_srv_count,9,dst_host_count,3,dst_host_same_srv_rate,3,service_private,3,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
69,count,105,dst_host_srv_count,8,dst_host_count,3,service_private,3,dst_host_same_srv_rate,2,service_http,2,dst_host_srv_serror_rate,1.0,flag_SF,1.0,same_srv_rate,1.0,,,,,,
70,count,105,dst_host_srv_count,8,dst_host_count,4,service_private,4,dst_host_same_srv_rate,2,flag_S0,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
71,count,105,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,4,service_private,2,flag_S0,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
72,count,105,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,4,service_private,2,dst_host_srv_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,service_http,1.0,,,,,,
73,count,105,dst_host_srv_count,8,dst_host_count,3,dst_host_same_srv_rate,3,same_srv_rate,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,service_http,1.0,,,,,,
74,count,105,dst_host_srv_count,9,dst_host_count,3,dst_host_same_srv_rate,3,same_srv_rate,2,service_private,2,flag_S0,1.0,flag_SF,1.0,,,,,,,,
75,count,105,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,3,same_srv_rate,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,,,,,,,,
76,count,105,dst_host_srv_count,7,dst_host_count,5,service_private,3,dst_host_same_srv_rate,2,same_srv_rate,2,dst_host_serror_rate,1.0,service_http,1.0,,,,,,,,
77,count,105,dst_host_srv_count,7,dst_host_count,5,dst_host_same_srv_rate,3,same_srv_rate,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,,,,,,,,
78,count,105,dst_host_srv_count,7,dst_host_count,5,dst_host_same_srv_rate,3,same_srv_rate,2,service_private,2,dst_host_serror_rate,1.0,flag_SF,1.0,,,,,,,,
79,count,105,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,4,same_srv_rate,2,dst_host_srv_serror_rate,1,flag_SF,1.0,service_private,1.0,,,,,,,,
80,count,105,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,3,same_srv_rate,2,service_private,2,flag_S0,1.0,flag_SF,1.0,,,,,,,,
81,count,106,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
82,count,106,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,4,dst_host_serror_rate,1,flag_SF,1,same_srv_rate,1.0,service_private,1.0,,,,,,,,
83,count,106,dst_host_srv_count,9,dst_host_same_srv_rate,4,dst_host_count,3,flag_S0,1,flag_SF,1,same_srv_rate,1.0,service_private,1.0,,,,,,,,
84,count,106,dst_host_srv_count,9,service_private,4,dst_host_count,3,dst_host_same_srv_rate,2,dst_host_srv_serror_rate,1,same_srv_rate,1.0,,,,,,,,,,
85,count,106,dst_host_srv_count,9,dst_host_count,3,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
86,count,106,dst_host_srv_count,9,dst_host_same_srv_rate,4,dst_host_count,3,flag_S0,1,flag_SF,1,same_srv_rate,1.0,service_private,1.0,,,,,,,,
87,count,106,dst_host_srv_count,7,dst_host_count,5,dst_host_same_srv_rate,4,service_private,2,dst_host_srv_serror_rate,1,same_srv_rate,1.0,,,,,,,,,,
88,count,106,dst_host_srv_count,8,dst_host_count,4,dst_host_same_srv_rate,4,flag_S0,1,flag_SF,1,same_srv_rate,1.0,service_private,1.0,,,,,,,,
89,count,106,dst_host_srv_count,9,dst_host_count,3,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
90,count,106,dst_host_srv_count,7,dst_host_count,5,dst_host_same_srv_rate,4,dst_host_serror_rate,1,flag_SF,1,same_srv_rate,1.0,service_private,1.0,,,,,,,,
91,count,107,dst_host_srv_count,6,dst_host_count,5,dst_host_same_srv_rate,3,service_private,2,flag_S0,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
92,count,107,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,3,service_private,2,flag_S0,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
93,count,107,dst_host_srv_count,8,dst_host_count,3,dst_host_same_srv_rate,3,service_private,3,dst_host_serror_rate,1,same_srv_rate,1.0,,,,,,,,,,
94,count,107,dst_host_srv_count,7,dst_host_count,4,dst_host_same_srv_rate,3,service_private,3,flag_S0,1,same_srv_rate,1.0,,,,,,,,,,
95,count,107,dst_host_srv_count,8,dst_host_count,3,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
96,count,107,dst_host_srv_count,8,dst_host_count,3,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
97,count,108,dst_host_srv_count,7,dst_host_same_srv_rate,5,dst_host_count,3,flag_S0,1,flag_SF,1,same_srv_rate,1.0,,,,,,,,,,
98,count,108,dst_host_count,5,dst_host_srv_count,5,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
99,count,108,dst_host_srv_count,6,dst_host_count,4,dst_host_same_srv_rate,3,service_private,2,dst_host_serror_rate,1,flag_SF,1.0,same_srv_rate,1.0,,,,,,,,
