epoch,mean,median,mode,std_dev,min,max,q1_25th,q3_75th,skewness,kurtosis
14,-2.915426587301536e-06,0.0,0.0,0.01195056608178621,-0.05587,0.056805,-0.0,0.0,-0.47521713135500954,6.636600877134404
15,0.00011964000496031748,0.0,0.0,0.011478697128371008,-0.059408,0.053085,0.0,0.0,-0.3847630556909146,7.340159220260782
16,1.8305431547618958e-05,0.0,0.0,0.011568472948233412,-0.062157,0.045152,-0.0,0.0,-0.7289276784940408,7.420648848974199
17,2.1814856150793572e-05,0.0,-0.0,0.011540831628597457,-0.058954,0.047728,0.0,0.0,-0.46653880345408993,7.367249146701836
18,1.2030133928571368e-05,0.0,-0.0,0.011303843412247043,-0.058487,0.04928,0.0,0.0,-0.40405442456231094,7.59091951964378
19,-0.0001259818948412699,0.0,0.0,0.011297008323157581,-0.06775,0.050154,-0.0,0.0,-0.8590627966367369,8.760552748748221
20,-0.00010358606150793651,0.0,0.0,0.011574545250708494,-0.068284,0.062889,0.0,0.0,-0.6058144574815061,9.27440654404967
21,-8.978137400793653e-05,0.0,-0.0,0.011387536453089044,-0.066589,0.059394,-0.0,0.0,-0.3272105640162649,9.091614045230822
22,-0.00019881969246031742,0.0,-0.0,0.011540962779270155,-0.064727,0.055632,0.0,0.0,-0.667129991199688,9.507318020315072
23,-0.00022988665674603174,0.0,-0.0,0.010834276522496697,-0.062041,0.049617,0.0,0.0,-0.7107452008657967,9.600291960021648
24,-0.00011563963293650798,0.0,-0.0,0.010556324282297436,-0.058839,0.049657,-0.0,0.0,-0.3649198649512099,10.022084640252936
25,-0.00026296180555555545,0.0,-0.0,0.010890346090461009,-0.0645,0.055532,-0.0,0.0,-0.7693324306326023,10.279941237230423
26,-0.0002660792410714286,0.0,-0.0,0.01108901586022444,-0.066397,0.061879,0.0,0.0,-0.7876768574350357,10.740075306102629
27,-0.0002877256944444445,0.0,-0.0,0.011198060785114872,-0.072713,0.062788,-0.0,0.0,-0.7775705260254128,10.756626997968377
28,-0.0001850818452380952,0.0,-0.0,0.010732825041318677,-0.059907,0.055045,0.0,0.0,-0.4088521392695094,10.048987666716789
29,-0.000258414310515873,0.0,0.0,0.010988717427660014,-0.062133,0.055123,-0.0,0.0,-0.7664106431524234,10.463458866046416
30,-0.00022220188492063492,0.0,0.0,0.010561193228649094,-0.062749,0.055181,0.0,0.0,-0.4436826735426213,10.359526665802361
31,-0.00022988554067460314,0.0,0.0,0.010715632615395798,-0.068351,0.057178,-0.0,0.0,-0.6047363245359048,11.160867820151411
32,-0.00018299156746031756,0.0,0.0,0.01084575704640534,-0.065237,0.056232,0.0,0.0,-0.39645490255098825,10.396894750487242
33,-0.0002514905753968253,0.0,-0.0,0.010839815190216394,-0.063927,0.059069,-0.0,0.0,-0.582610886247748,11.037503344812295
34,-0.0002336298363095238,0.0,-0.0,0.010466559454483777,-0.058368,0.059184,-0.0,0.0,-0.5975756166952211,11.36061682467409
35,-0.0002500994543650794,0.0,-0.0,0.0104723158496576,-0.065541,0.06142,0.0,0.0,-0.644726619231094,12.216158202196485
36,-0.00019687971230158733,0.0,-0.0,0.010257088530629137,-0.066285,0.063587,-0.0,0.0,-0.5788490037962785,12.124109392599825
37,-0.000267070064484127,0.0,-0.0,0.010457034266142598,-0.065383,0.056271,0.0,0.0,-0.6784237903686023,11.373328302020852
38,-0.00018296292162698415,0.0,-0.0,0.010741373125710387,-0.06042,0.060633,0.0,0.0,-0.3393080193314824,10.747782613393843
39,-0.0002440827132936508,0.0,0.0,0.010234861223502928,-0.060399,0.063698,0.0,0.0,-0.5148341978680082,11.619880378160742
40,-0.00012621019345238093,0.0,0.0,0.010046935760873824,-0.054851,0.059301,0.0,0.0,-0.0645810184413005,10.95907308481486
41,-0.0001972052331349206,0.0,0.0,0.010094416494859615,-0.067551,0.062574,0.0,0.0,-0.3824266577183097,12.500627512928999
42,-0.00019410987103174598,0.0,-0.0,0.010140030788498533,-0.056816,0.060849,0.0,0.0,-0.3546723479154313,11.870486885578446
43,-0.0003158789682539683,0.0,0.0,0.010299106601818393,-0.059032,0.067306,-0.0,0.0,-0.7102302525047974,12.796324327911265
44,-0.00030969568452380957,0.0,-0.0,0.010445015997458023,-0.064753,0.061837,0.0,0.0,-0.7097398258540183,12.863098112639545
45,-0.00022810987103174605,0.0,0.0,0.009948875524436216,-0.062465,0.064837,0.0,0.0,-0.41865400757876986,11.780662003659756
