epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
32,0.013795,0.008076,0.050745,-0.052461,-0.043783,0.012530,0.041652,-0.030245,0.008158,-0.016175,0.009799,0.014187,0.042558,0.010828,0.041392,0.042905,-0.032804,0.038154,0.040360,0.011103,0.008695,-0.036194,0.043353,0.040398,0.013474,0.041534,0.043457,0.041600,-0.019313,0.039860,0.045347,0.037716
33,0.008679,0.010993,0.044189,-0.052461,-0.043783,0.010089,0.039601,-0.030245,0.011003,-0.016175,0.010788,0.009887,0.040816,0.011700,0.039427,0.045205,-0.032804,0.040094,0.041298,0.008526,0.013688,-0.036194,0.036467,0.036521,0.011823,0.043970,0.035910,0.047543,-0.019313,0.040525,0.046344,0.038965
34,0.010370,0.007348,0.037512,-0.052461,-0.043783,0.014370,0.040776,-0.030245,0.007110,-0.016175,0.009534,0.010415,0.037717,0.010232,0.040509,0.046033,-0.032804,0.037195,0.040969,0.009270,0.005934,-0.036194,0.036678,0.039668,0.005720,0.040599,0.039515,0.040010,-0.019313,0.048796,0.040675,0.041226
35,0.011451,0.011124,0.035626,-0.052461,-0.043783,0.013095,0.040075,-0.030245,0.013557,-0.016175,0.010912,0.011313,0.041024,0.010894,0.036322,0.037346,-0.032804,0.035180,0.036459,0.008534,0.013906,-0.036194,0.039119,0.037799,0.009832,0.040309,0.037409,0.041301,-0.019313,0.034833,0.035213,0.041278
36,0.008409,0.007677,0.034443,-0.052461,-0.043783,0.010550,0.039633,-0.030245,0.008131,-0.016175,0.007482,0.009322,0.040927,0.006855,0.030749,0.038656,-0.032804,0.037298,0.036202,0.010426,0.010441,-0.036194,0.033347,0.040224,0.010101,0.033304,0.038432,0.042841,-0.019313,0.039966,0.041863,0.046748
37,0.006182,0.010965,0.036806,-0.052461,-0.043783,0.009231,0.037312,-0.030245,0.008790,-0.016175,0.012029,0.010116,0.036664,0.007998,0.039470,0.035130,-0.032804,0.039372,0.040105,0.009355,0.004635,-0.036194,0.038279,0.033631,0.008184,0.035574,0.032241,0.039214,-0.019313,0.031985,0.037799,0.042712
38,0.008661,0.010156,0.033770,-0.052461,-0.043783,0.012581,0.033309,-0.030245,0.004820,-0.016175,0.011496,0.008217,0.032584,0.012183,0.030998,0.035647,-0.032804,0.039224,0.035729,0.012732,0.009647,-0.036194,0.035120,0.036429,0.009940,0.034252,0.028781,0.034246,-0.019313,0.036153,0.030982,0.037278
39,0.007734,0.008161,0.038846,-0.052461,-0.043783,0.011700,0.040246,-0.030245,0.011416,-0.016175,0.011445,0.012951,0.035194,0.010039,0.034173,0.034349,-0.032804,0.031671,0.031502,0.013357,0.011917,-0.036194,0.037018,0.036183,0.010761,0.029987,0.035182,0.032978,-0.019313,0.035875,0.036614,0.037731
40,0.013380,0.012687,0.037242,-0.052461,-0.043783,0.010352,0.034057,-0.030245,0.011058,-0.016175,0.011477,0.012764,0.033060,0.013794,0.033736,0.036483,-0.032804,0.031878,0.038782,0.010202,0.008753,-0.036194,0.030588,0.031327,0.007634,0.032485,0.034437,0.036216,-0.019313,0.030602,0.034766,0.027950
41,0.011462,0.008190,0.034766,-0.052461,-0.043783,0.009936,0.031532,-0.030245,0.007157,-0.016175,0.008564,0.008496,0.035547,0.009939,0.032268,0.035298,-0.032804,0.032765,0.030944,0.010194,0.010492,-0.036194,0.027295,0.033935,0.012393,0.030789,0.036666,0.029601,-0.019313,0.036908,0.038280,0.034834
