epoch_number,neuron1_connection1,neuron1_connection2,neuron1_connection3,neuron1_connection4,neuron1_connection5,neuron1_connection6,neuron1_connection7,neuron1_connection8,neuron1_connection9,neuron1_connection10,neuron1_connection11,neuron1_connection12,neuron1_connection13,neuron1_connection14,neuron1_connection15,neuron1_connection16,neuron1_connection17,neuron1_connection18,neuron1_connection19,neuron1_connection20,neuron1_connection21,neuron1_connection22,neuron1_connection23,neuron1_connection24,neuron1_connection25,neuron1_connection26,neuron1_connection27,neuron1_connection28,neuron1_connection29,neuron1_connection30,neuron1_connection31,neuron1_connection32
26,7.992915,8.213342,-5.572964,0.262048,0.279545,7.555993,-5.165944,0.105399,7.929558,-0.224159,7.673227,7.792141,-5.357206,8.287877,-5.651760,-5.188682,0.083077,-5.490797,-5.667950,7.990919,7.896583,0.365651,-5.108528,-5.547816,7.811934,-4.940639,-5.564051,-5.766408,-0.323222,-4.830034,-5.558789,-5.582409
27,8.269212,8.459306,-5.748769,0.262048,0.279545,7.813734,-5.324681,0.105399,8.186086,-0.224159,7.933516,8.037869,-5.538602,8.535487,-5.819824,-5.352944,0.083077,-5.665889,-5.838085,8.228488,8.140802,0.365651,-5.273801,-5.717373,8.052546,-5.124541,-5.721493,-5.934540,-0.323222,-5.008437,-5.720895,-5.756113
28,8.497275,8.715896,-5.917425,0.262048,0.279545,8.062157,-5.487380,0.105399,8.415427,-0.224159,8.170834,8.298828,-5.707533,8.779589,-5.984931,-5.530816,0.083077,-5.843003,-6.009061,8.479726,8.368065,0.365651,-5.456773,-5.887365,8.295850,-5.283527,-5.906768,-6.099114,-0.323222,-5.169170,-5.873705,-5.941409
29,8.744851,8.958872,-6.087365,0.262048,0.279545,8.288601,-5.672430,0.105399,8.666733,-0.224159,8.412363,8.545627,-5.884234,9.010571,-6.150289,-5.704063,0.083077,-6.013704,-6.194240,8.728734,8.627209,0.365651,-5.623070,-6.047989,8.544670,-5.461193,-6.086180,-6.266657,-0.323222,-5.330430,-6.036038,-6.110293
30,8.973123,9.193434,-6.242447,0.262048,0.279545,8.530761,-5.840862,0.105399,8.893934,-0.224159,8.648220,8.779197,-6.038627,9.265612,-6.329461,-5.875380,0.083077,-6.183447,-6.357699,8.960702,8.853652,0.365651,-5.785029,-6.215048,8.782109,-5.601770,-6.247337,-6.432410,-0.323222,-5.497103,-6.203195,-6.293677
31,9.215739,9.427072,-6.413193,0.262048,0.279545,8.775295,-6.009233,0.105399,9.126881,-0.224159,8.894485,9.023080,-6.206652,9.491337,-6.486736,-6.042845,0.083077,-6.364866,-6.548876,9.204651,9.073977,0.365651,-5.940835,-6.382687,9.034423,-5.774823,-6.413766,-6.599962,-0.323222,-5.659854,-6.375310,-6.453238
32,9.461371,9.656813,-6.598068,0.262048,0.279545,9.011308,-6.165177,0.105399,9.359509,-0.224159,9.133214,9.262815,-6.365870,9.744508,-6.655034,-6.203210,0.083077,-6.544177,-6.710730,9.435159,9.313094,0.365651,-6.108054,-6.543092,9.277268,-5.929894,-6.574215,-6.769937,-0.323222,-5.816805,-6.543845,-6.616389
33,9.685844,9.909864,-6.758147,0.262048,0.279545,9.247866,-6.327004,0.105399,9.609264,-0.224159,9.373376,9.505580,-6.523133,10.002047,-6.816802,-6.372374,0.083077,-6.721281,-6.876606,9.661536,9.560565,0.365651,-6.257368,-6.704960,9.520575,-6.088269,-6.727576,-6.960658,-0.323222,-5.981143,-6.709193,-6.796940
34,9.919995,10.122856,-6.901473,0.262048,0.279545,9.484643,-6.482951,0.105399,9.826173,-0.224159,9.595535,9.739856,-6.668554,10.221827,-6.986739,-6.530169,0.083077,-6.884789,-7.035928,9.882985,9.780880,0.365651,-6.414361,-6.870255,9.739679,-6.235275,-6.888752,-7.106063,-0.323222,-6.140258,-6.856688,-6.961937
35,10.152429,10.369251,-7.060192,0.262048,0.279545,9.702073,-6.642691,0.105399,10.066421,-0.224159,9.813799,9.960745,-6.828796,10.430427,-7.146324,-6.677671,0.083077,-7.046663,-7.202594,10.102742,10.008410,0.365651,-6.580216,-7.039052,9.951180,-6.395867,-7.058328,-7.268659,-0.323222,-6.277295,-6.993835,-7.132854
36,10.365555,10.568021,-7.214927,0.262048,0.279545,9.918291,-6.800936,0.105399,10.275810,-0.224159,10.034794,10.162325,-6.981179,10.650083,-7.309587,-6.822413,0.083077,-7.199544,-7.362605,10.328795,10.236584,0.365651,-6.735829,-7.205781,10.173616,-6.549147,-7.228770,-7.434414,-0.323222,-6.433989,-7.161245,-7.299412
37,10.600578,10.814648,-7.389194,0.262048,0.279545,10.132661,-6.958239,0.105399,10.517662,-0.224159,10.264202,10.394554,-7.127707,10.875088,-7.485518,-6.975131,0.083077,-7.370665,-7.525846,10.552195,10.440554,0.365651,-6.899107,-7.361366,10.400564,-6.710858,-7.386564,-7.590816,-0.323222,-6.575002,-7.321916,-7.452368
38,10.814048,11.041818,-7.548471,0.262048,0.279545,10.347817,-7.110403,0.105399,10.729144,-0.224159,10.486156,10.617973,-7.277801,11.102706,-7.642944,-7.134430,0.083077,-7.544652,-7.687965,10.783943,10.656581,0.365651,-7.052999,-7.521974,10.612857,-6.867716,-7.546221,-7.733914,-0.323222,-6.735568,-7.468070,-7.594446
39,11.032784,11.235752,-7.708652,0.262048,0.279545,10.562646,-7.275054,0.105399,10.952350,-0.224159,10.699479,10.838557,-7.430525,11.313250,-7.802091,-7.288453,0.083077,-7.678996,-7.842082,11.001803,10.874984,0.365651,-7.210179,-7.678012,10.827165,-7.011125,-7.704731,-7.879407,-0.323222,-6.873836,-7.624346,-7.745122
40,11.258980,11.461761,-7.855172,0.262048,0.279545,10.766452,-7.415141,0.105399,11.163004,-0.224159,10.906216,11.054655,-7.575426,11.534272,-7.952702,-7.433850,0.083077,-7.832187,-8.005095,11.210683,11.085275,0.365651,-7.346280,-7.828445,11.031725,-7.159452,-7.867073,-8.038638,-0.323222,-7.011673,-7.764318,-7.872686
41,11.473873,11.689882,-8.007497,0.262048,0.279545,10.986290,-7.554242,0.105399,11.379971,-0.224159,11.128435,11.260137,-7.739399,11.750834,-8.104794,-7.581028,0.083077,-7.992194,-8.149240,11.422903,11.296518,0.365651,-7.494953,-7.986315,11.262918,-7.322779,-8.033512,-8.188324,-0.323222,-7.165290,-7.928913,-8.025022
42,11.663548,11.891752,-8.133406,0.262048,0.279545,11.176223,-7.695686,0.105399,11.581031,-0.224159,11.316987,11.458911,-7.883965,11.935550,-8.253869,-7.725765,0.083077,-8.140560,-8.294796,11.618435,11.497101,0.365651,-7.646963,-8.133540,11.457967,-7.473271,-8.190351,-8.340032,-0.323222,-7.310285,-8.070203,-8.157913
